fighter,lore,cluster,fighting_style
VINC PICHEL,"Born in the tough streets of.c-hero--full__headline,.c-hero--full__headline-prefix{color:inherit}.c-hero__actions{display:-webkit-box;display:-ms-flexbox;display:flex;-webkit-box-pack:center;-ms-flex-pack:center;justify-content:center;-ms-flex-wrap:wrap;flex-wrap:wrap;margin:0 -.72222rem 0}@media (min-width:48em){.c-hero__actions{margin-bottom:1.66667rem}}.c-hero__actions a,.c-hero__actions button{width:8.66667rem;margin-right:.72222rem;margin-left:.72222rem;margin-bottom:.72222rem;padding:10px 22px;text-align:center;font-size:1.125rem;border-color:transparent}.c-hero__actions a span,.c-hero__actions button span{display:-webkit-box;display:-ms-flexbox;display:flex;height:100%;-webkit-box-align:center;-ms-flex-align:center;align-items:center;-webkit-box-pack:center;-ms-flex-pack:center;justify-content:center}@media (min-width:48em){.c-hero__actions a,.c-hero__actions button{padding:16px 32px;width:11.55556rem}}body.path-rankings h1{margin:0 0 20px 0;padding-top:110px;text-align:center}@media (min-width:48em){body.path-rankings h1{margin:0 0 30px 0;padding-top:150px}}.l-masthead{margin:0 auto 1.92111rem auto;padding-right:1.44444rem;padding-left:1.44444rem;padding-top:8.66667rem;width:100%;max-width:1220px;text-align:center}.l-masthead--tight{margin-bottom:1.44444rem}@media (min-width:56.25em){.l-masthead{margin:11.55556rem auto 5.77778rem auto;padding-top:0}}.l-masthead__headline{margin-bottom:.72222rem;text-transform:uppercase;color:var(--color-title,#191919);font-family:UfcSansCondensedMedium,""Arial Narrow"",Arial,sans-serif;letter-spacing:.04444rem;font-size:2.66667rem;line-height:2.5rem}@media (min-width:56.25em){.l-masthead__headline{letter-spacing:.0592rem;font-size:3.552rem;line-height:3.33rem}}@media (min-width:56.25em){.l-masthead__headline{letter-spacing:.08889rem;font-size:5.33333rem;line-height:5rem}}.l-masthead__headline-prefix{margin-bottom:.72222rem;text-transform:uppercase;font-family:UfcSansCondensedMedium,""Arial Narrow"",Arial,sans-serif;letter-spacing:.01111rem;font-size:1.11111rem;line-height:1.22222rem;color:#d20a0a} /*# sourceMappingURL=critical.css.map */, VINC PICHEL discovered fighting as an escape from adversity. VINC PICHEL brings a high-volume striking attack to every fight, throwing over 9.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
VINCE MORALES,"Born in the tough streets of their homeland, VINCE MORALES discovered fighting as an escape from adversity. VINCE MORALES brings a high-volume striking attack to every fight, throwing over 10.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
VINNY MAGALHAES,"With roots in their homeland, VINNY MAGALHAES defied expectations to become a force in the octagon. VINNY MAGALHAES brings a high-volume striking attack to every fight, throwing over 6.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
VIRNA JANDIROBA,"Hailing from a small town, VIRNA JANDIROBA grew up competing in underground circuits before making it to the big stage. VIRNA JANDIROBA brings a high-volume striking attack to every fight, throwing over 5.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
VITOR BELFORT,"Hailing from a small town, VITOR BELFORT grew up competing in underground circuits before making it to the big stage. In the octagon, VITOR BELFORT is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 6.0 significant strikes per minute with deadly accuracy.",1,
VITOR MIRANDA,"Hailing from a small town, VITOR MIRANDA grew up competing in underground circuits before making it to the big stage. As a versatile fighter, VITOR MIRANDA maintains constant pressure with over 12.6 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
VITOR PETRINO,"From humble origins, VITOR PETRINO earned every opportunity on their journey to the UFC. VITOR PETRINO brings a high-volume striking attack to every fight, throwing over 7.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
VIVIANE ARAUJO,"Hailing from a small town, VIVIANE ARAUJO grew up competing in underground circuits before making it to the big stage. VIVIANE ARAUJO brings a high-volume striking attack to every fight, throwing over 18.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
VLADIMIR MATYUSHENKO,"From humble origins, VLADIMIR MATYUSHENKO earned every opportunity on their journey to the UFC. VLADIMIR MATYUSHENKO brings a high-volume striking attack to every fight, throwing over 5.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
VOLKAN OEZDEMIR,"Hailing from a small town, VOLKAN OEZDEMIR grew up competing in underground circuits before making it to the big stage. In the octagon, VOLKAN OEZDEMIR is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 15.6 significant strikes per minute with deadly accuracy.",4,
WALDO CORTES-ACOSTA,"Born in the tough streets of their homeland, WALDO CORTES-ACOSTA discovered fighting as an escape from adversity. WALDO CORTES-ACOSTA brings a high-volume striking attack to every fight, throwing over 14.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
WALT HARRIS,"From humble origins, WALT HARRIS earned every opportunity on their journey to the UFC. WALT HARRIS brings a high-volume striking attack to every fight, throwing over 8.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
WANDERLEI SILVA,"Hailing from a small town, WANDERLEI SILVA grew up competing in underground circuits before making it to the big stage. WANDERLEI SILVA brings a high-volume striking attack to every fight, throwing over 7.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
WARLLEY ALVES,"From humble origins, WARLLEY ALVES earned every opportunity on their journey to the UFC. As a versatile fighter, WARLLEY ALVES maintains constant pressure with over 11.5 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
WELLINGTON TURMAN,"Hailing from a small town, WELLINGTON TURMAN grew up competing in underground circuits before making it to the big stage. As a versatile fighter, WELLINGTON TURMAN maintains constant pressure with over 10.5 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",3,
WILLIAM KNIGHT,"Hailing from a small town, WILLIAM KNIGHT grew up competing in underground circuits before making it to the big stage. WILLIAM KNIGHT brings a high-volume striking attack to every fight, throwing over 5.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
WILSON GOUVEIA,"With roots in their homeland, WILSON GOUVEIA defied expectations to become a force in the octagon. WILSON GOUVEIA brings a high-volume striking attack to every fight, throwing over 8.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
WILSON REIS,"From humble origins, WILSON REIS earned every opportunity on their journey to the UFC. WILSON REIS brings a high-volume striking attack to every fight, throwing over 5.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
WU YANAN,"With roots in their homeland, WU YANAN defied expectations to become a force in the octagon. WU YANAN brings a high-volume striking attack to every fight, throwing over 10.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
YAIR RODRIGUEZ,"With roots in their homeland, YAIR RODRIGUEZ defied expectations to become a force in the octagon. YAIR RODRIGUEZ brings a high-volume striking attack to every fight, throwing over 26.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
YAN CABRAL,"From humble origins, YAN CABRAL earned every opportunity on their journey to the UFC. YAN CABRAL brings a high-volume striking attack to every fight, throwing over 6.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
YAN XIAONAN,"Born in the tough streets of their homeland, YAN XIAONAN discovered fighting as an escape from adversity. YAN XIAONAN brings a high-volume striking attack to every fight, throwing over 15.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
YANA SANTOS,"Born in the tough streets of their homeland, YANA SANTOS discovered fighting as an escape from adversity. YANA SANTOS fights as a versatile fighter with a devastating body attack, systematically breaking down opponents with over 18.6 strikes per minute, targeting the body with surgical precision.",7,
YANCY MEDEIROS,"With roots in their homeland, YANCY MEDEIROS defied expectations to become a force in the octagon. YANCY MEDEIROS brings a high-volume striking attack to every fight, throwing over 11.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
YAOTZIN MEZA,"Born in the tough streets of their homeland, YAOTZIN MEZA discovered fighting as an escape from adversity. YAOTZIN MEZA excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 84% control time and 35% takedown accuracy, suffocating opponents with pressure and technique.",0,
YAZMIN JAUREGUI,"From humble origins, YAZMIN JAUREGUI earned every opportunity on their journey to the UFC. YAZMIN JAUREGUI brings a high-volume striking attack to every fight, throwing over 12.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
YOEL ROMERO,"With roots in their homeland, YOEL ROMERO defied expectations to become a force in the octagon. As a versatile fighter, YOEL ROMERO maintains constant pressure with over 20.9 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",9,
YOSHIHIRO AKIYAMA,"From humble origins, YOSHIHIRO AKIYAMA earned every opportunity on their journey to the UFC. YOSHIHIRO AKIYAMA brings a high-volume striking attack to every fight, throwing over 8.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
YOSHIYUKI YOSHIDA,"Born in the tough streets of their homeland, YOSHIYUKI YOSHIDA discovered fighting as an escape from adversity. YOSHIYUKI YOSHIDA excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 43% control time and 58% takedown accuracy, suffocating opponents with pressure and technique.",7,
